,FR,FR-RVS,SFDP,Linlog,FA2,PMDS,Maxent,SM,tsNET,DRGraph,t-FDP
dwt_72,0.036540009651655034,0.04415088818397051,0.04670312080854251,0.17193820623703945,0.05683993822262612,0.06892143061131606,0.0342941231197781,0.02837149890852563,0.04319224828555261,0.09457359196227275,0.0593128310309516
lesmis,0.1258809960015127,0.225239131397975,0.12226402114144985,0.21288787023396655,0.14914415719477356,0.1550606740307177,0.1264219163420792,0.08140082446976725,0.1258863325886269,0.17342363969735622,0.13011544610903505
can_96,0.07372141679128011,0.09116597970326741,0.07357388072543675,0.08324169980155097,0.07531742254892985,0.08620834350585938,0.14949275387658015,0.07321416669421726,0.08253818617926705,0.0868489212459988,0.0823918064435323
rajat11,0.07524152172282236,0.09230802710262345,0.07302633905606998,0.17890207315243484,0.18285273330332646,0.11662583054698217,0.11985522226508916,0.06281552747770919,0.10728807388117283,0.15370808416923867,0.10043266407321674
jazz,0.14589160225997347,0.15590485525233394,0.14660254693398633,0.2503026835590756,0.17460535456362872,0.1686849157611468,0.13131244629454264,0.10137525328250944,0.1611413366222197,0.187530031214927,0.15138435282034363
visbrazil,0.082218872298185,0.122777173023953,0.08599272440726198,0.1857788373255012,0.11909267269803588,0.19421884669720396,0.08554732480051844,0.06017313436219159,0.09679198505409971,0.12838086119798006,0.0829994921811592
grid17,0.018252852096609685,0.019131259080332343,0.019074878822111355,0.17118787630880256,0.02493007524398804,0.026913303545103927,0.013678046258575688,0.01364043554774024,0.020468891945962693,0.02528868084776209,0.016526469694934508
mesh3e1,0.007919945289068392,0.02988580195914426,0.014747685672802349,0.06532261183751692,0.017196749287791392,0.04173999021391327,0.0025445740138520553,0.0024838212295130117,0.012469519033760968,0.0163063034974924,0.005981472497373416
netscience,0.0869886856599091,0.1492282245755042,0.11092915399763995,0.17515889494033737,0.11787560872243996,0.14455326125549112,0.08231967930247978,0.05638602637717469,0.10728827233563187,0.16714102454208757,0.09174997530736348
dwt_419,0.021939516949415018,0.06926442678755532,0.035320021869179374,0.1802923022482214,0.04814455906262638,0.03336807000576011,0.025771973932849558,0.015566507265459014,0.027516218321196058,0.04422833267354367,0.022349863326528958
cluster,0.18611397216796877,0.21036884765624997,0.18651685791015624,0.22497456542968752,0.19879897460937498,0.23890837890625,0.2296331005859375,0.1818876708984375,0.21236277343749999,0.20821596191406253,0.19790730224609376
qh882,0.06635757678449308,0.11697165709632303,0.07987009435529692,0.24433303815668367,0.09223683202022306,0.09911157572912006,0.058948192962937254,0.04794566813403365,0.09549680865354457,0.09845264246571642,0.0658512351463639
price_1000,0.136760621875,0.260932546875,0.1265124453125,0.19773450625,0.188067175,0.27854721250000003,0.1119349171875,0.09245307812500002,0.15558744062500002,0.17860265937500003,0.12518869375000002
dwt_1005,0.025935366698844088,0.045034907861191555,0.029636499560654443,0.22533943776144155,0.03275154312393258,0.03014091428739387,0.040314730761614806,0.02122300113239771,0.03765063055369917,0.04089125230501721,0.02793779431511596
cage8,0.1417415127763353,0.17394634667184355,0.13894969848819433,0.22734454852095415,0.15069063493411633,0.15868096774976342,0.1561012400203839,0.11812534883156592,0.18607406755805772,0.16910080322259702,0.14254677679633088
btree9,0.13845719695775272,0.3141654519368312,0.14385200684835298,0.19892462368458017,0.15888461404318466,0.30073420086782116,0.12259120686096611,0.11518639085730067,0.156103258963679,0.16147137943621248,0.15118917810686566
bcsstk09,0.022033153153239567,0.01819718900296618,0.02307557150282337,0.15208462821289995,0.031965069264866496,0.04136758412347631,0.01666382645757612,0.015298679025679326,0.02009948198689305,0.02641370541564462,0.018852564586248143
1138_bus,0.08229765986715509,0.1564714789613326,0.08771720545788407,0.21794592500332036,0.10299539533019728,0.1331894707824599,0.07051161244328377,0.06180304612237114,0.1293600593879436,0.11099185384820902,0.08467696488497689
qh1484,0.07535281717929251,0.12952402275212327,0.06888261684835914,0.30009264931052526,0.0675944222084081,0.10299438394083157,0.055660102072601914,0.03516578567614301,0.09955413760934242,0.08940393680389563,0.0558507446454908
clusterHiera,0.1643515380859375,0.16059194580078123,0.16034118652343748,0.22153388671875002,0.1976384423828125,0.18955632812499998,0.15973881591796874,0.13777998046875,0.17573053710937497,0.20548157226562497,0.16278366699218752
bcspwr07,0.06513945285321318,0.12460039160391359,0.08626892959095556,0.22027111143778982,0.09067344780384708,0.0990799174460775,0.05996885419296344,0.04571777743613346,0.09494610250971312,0.1001501862677715,0.06370498729288401
fidapex6,0.030909226315494052,0.051290997811285564,0.04108656386691472,0.10904542829795719,0.06729087614979963,0.08461614929886666,0.02450473904276211,0.016869866302602426,0.0667868992912542,0.04053912558638727,0.021720027491460313
block_2000,0.163342025,0.16856174999999998,0.16378187499999997,0.22173705937500002,0.187790271875,0.1812818625,0.16548443750000003,0.13986853124999998,0.186741603125,0.21241286874999998,0.1622678375
